productFamily,Risk_Rank,ciscoML_final,device_high,device_high_original,distance_from_device_high
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,1,30.2,30.2,29.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,LOW,2,30.2,30.2,28.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,3,30.2,30.2,27.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,4,30.2,30.2,26.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,5,30.2,30.2,25.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,6,30.2,30.2,24.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,7,30.2,30.2,23.2
cat9k,MED,8,30.2,30.2,22.2
cat9k,MED,9,30.2,30.2,21.2
cat9k,MED,12,30.2,30.2,18.2
cat9k,MED,12,30.2,30.2,18.2
cat9k,MED,14,30.2,30.2,16.2
cat9k,MED,16,30.2,30.2,14.2
cat9k,MED,16,30.2,30.2,14.2
cat9k,MED,17,30.2,30.2,13.2
cat9k,MED,27,30.2,30.2,3.1999999999999993
cat9k,MED,28,30.2,30.2,2.1999999999999993
cat9k,MED,30,30.2,30.2,0.1999999999999993
cat9k,MED,30,30.2,30.2,0.1999999999999993
cat9k,MED,30,30.2,30.2,0.1999999999999993
cat9k,HIGH,38,30.2,30.2,-7.800000000000001
cat9k,HIGH,40,30.2,30.2,-9.8
isr4k,LOW,1,22.08,22.08,21.08
isr4k,LOW,1,22.08,22.08,21.08
isr4k,LOW,1,22.08,22.08,21.08
isr4k,LOW,1,22.08,22.08,21.08
isr4k,LOW,1,22.08,22.08,21.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,LOW,2,22.08,22.08,20.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,3,22.08,22.08,19.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,4,22.08,22.08,18.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,5,22.08,22.08,17.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,6,22.08,22.08,16.08
isr4k,MED,7,22.08,22.08,15.079999999999998
isr4k,MED,7,22.08,22.08,15.079999999999998
isr4k,MED,7,22.08,22.08,15.079999999999998
isr4k,MED,8,22.08,22.08,14.079999999999998
isr4k,MED,8,22.08,22.08,14.079999999999998
isr4k,MED,8,22.08,22.08,14.079999999999998
isr4k,MED,9,22.08,22.08,13.079999999999998
isr4k,MED,9,22.08,22.08,13.079999999999998
isr4k,MED,9,22.08,22.08,13.079999999999998
isr4k,MED,10,22.08,22.08,12.079999999999998
isr4k,MED,10,22.08,22.08,12.079999999999998
isr4k,MED,12,22.08,22.08,10.079999999999998
isr4k,MED,12,22.08,22.08,10.079999999999998
isr4k,MED,14,22.08,22.08,8.079999999999998
isr4k,MED,16,22.08,22.08,6.079999999999998
isr4k,MED,16,22.08,22.08,6.079999999999998
isr4k,MED,17,22.08,22.08,5.079999999999998
isr4k,HIGH,27,22.08,22.08,-4.920000000000002
isr4k,HIGH,28,22.08,22.08,-5.920000000000002
isr4k,HIGH,38,22.08,22.08,-15.920000000000002
